"","x"
"1","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"2","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION"
"3","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION"
"4","REACTOME_FCGR_ACTIVATION"
"5","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"6","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"7","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"8","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"
"9","REACTOME_STRIATED_MUSCLE_CONTRACTION"
